usage,evdev,xkb,win,mac,name,id
0x070042,0x0043,0x004b,0x0043,0x0065,"""F9""",F9
0x070043,0x0044,0x004c,0x0044,0x006d,"""F10""",F10
0x070044,0x0057,0x005f,0x0057,0x0067,"""F11""",F11
0x070045,0x0058,0x0060,0x0058,0x006f,"""F12""",F12
0x070046,0x0063,0x006b,0xe037,0xffff,"""PrintScreen""",PRINT_SCREEN
0x070047,0x0046,0x004e,0x0046,0xffff,"""ScrollLock""",SCROLL_LOCK
0x070048,0x0077,0x007f,0x0045,0xffff,"""Pause""",PAUSE
0x070049,0x006e,0x0076,0xe052,0x0072,"""Insert""",INSERT
0x07004a,0x0066,0x006e,0xe047,0x0073,"""Home""",HOME
0x07004b,0x0068,0x0070,0xe049,0x0074,"""PageUp""",PAGE_UP
0x07004c,0x006f,0x0077,0xe053,0x0075,"""Delete""",DEL
0x07004d,0x006b,0x0073,0xe04f,0x0077,"""End""",END
0x07004e,0x006d,0x0075,0xe051,0x0079,"""PageDown""",PAGE_DOWN
0x07004f,0x006a,0x0072,0xe04d,0x007c,"""ArrowRight""",ARROW_RIGHT
0x070050,0x0069,0x0071,0xe04b,0x007b,"""ArrowLeft""",ARROW_LEFT
0x070051,0x006c,0x0074,0xe050,0x007d,"""ArrowDown""",ARROW_DOWN
0x070052,0x0067,0x006f,0xe048,0x007e,"""ArrowUp""",ARROW_UP
0x070053,0x0045,0x004d,0xe045,0x0047,"""NumLock""",NUM_LOCK
0x070054,0x0062,0x006a,0xe035,0x004b,"""NumpadDivide""",NUMPAD_DIVIDE
0x070055,0x0037,0x003f,0x0037,0x0043,"""NumpadMultiply""",NUMPAD_MULTIPLY
0x070056,0x004a,0x0052,0x004a,0x004e,"""NumpadSubtract""",NUMPAD_SUBTRACT
0x070057,0x004e,0x0056,0x004e,0x0045,"""NumpadAdd""",NUMPAD_ADD
0x070058,0x0060,0x0068,0xe01c,0x004c,"""NumpadEnter""",NUMPAD_ENTER
0x070059,0x004f,0x0057,0x004f,0x0053,"""Numpad1""",NUMPAD1
0x07005a,0x0050,0x0058,0x0050,0x0054,"""Numpad2""",NUMPAD2
0x07005b,0x0051,0x0059,0x0051,0x0055,"""Numpad3""",NUMPAD3
0x07005c,0x004b,0x0053,0x004b,0x0056,"""Numpad4""",NUMPAD4
0x07005d,0x004c,0x0054,0x004c,0x0057,"""Numpad5""",NUMPAD5
0x07005e,0x004d,0x0055,0x004d,0x0058,"""Numpad6""",NUMPAD6
0x07005f,0x0047,0x004f,0x0047,0x0059,"""Numpad7""",NUMPAD7
0x070060,0x0048,0x0050,0x0048,0x005b,"""Numpad8""",NUMPAD8
0x070061,0x0049,0x0051,0x0049,0x005c,"""Numpad9""",NUMPAD9
0x070062,0x0052,0x005a,0x0052,0x0052,"""Numpad0""",NUMPAD0
0x070063,0x0053,0x005b,0x0053,0x0041,"""NumpadDecimal""",NUMPAD_DECIMAL
0x070064,0x0056,0x005e,0x0056,0x000a,"""IntlBackslash""",INTL_BACKSLASH
0x070065,0x007f,0x0087,0xe05d,0x006e,"""ContextMenu""",CONTEXT_MENU
0x070066,0x0074,0x007c,0xe05e,0xffff,"""Power""",POWER
0x070067,0x0075,0x007d,0x0059,0x0051,"""NumpadEqual""",NUMPAD_EQUAL
0x070068,0x00b7,0x00bf,0x0064,0x0069,"""F13""",F13
0x070069,0x00b8,0x00c0,0x0065,0x006b,"""F14""",F14
0x07006a,0x00b9,0x00c1,0x0066,0x0071,"""F15""",F15
0x07006b,0x00ba,0x00c2,0x0067,0x006a,"""F16""",F16
0x07006c,0x00bb,0x00c3,0x0068,0x0040,"""F17""",F17
0x07006d,0x00bc,0x00c4,0x0069,0x004f,"""F18""",F18
0x07006e,0x00bd,0x00c5,0x006a,0x0050,"""F19""",F19
0x07006f,0x00be,0x00c6,0x006b,0x005a,"""F20""",F20
0x070070,0x00bf,0x00c7,0x006c,0xffff,"""F21""",F21
0x070071,0x00c0,0x00c8,0x006d,0xffff,"""F22""",F22
0x070072,0x00c1,0x00c9,0x006e,0xffff,"""F23""",F23
0x070073,0x00c2,0x00ca,0x0076,0xffff,"""F24""",F24
0x070074,0x0086,0x008e,0x0000,0xffff,"""Open""",OPEN
0x070075,0x008a,0x0092,0xe03b,0xffff,"""Help""",HELP
0x070076,0x0000,0x0000,0x0000,0xffff,NULL,MENU
0x070077,0x0084,0x008c,0x0000,0xffff,"""Select""",SELECT
0x070078,0x0080,0x0088,0x0000,0xffff,NULL,STOP
0x070079,0x0081,0x0089,0x0000,0xffff,"""Again""",AGAIN
0x07007a,0x0083,0x008b,0xe008,0xffff,"""Undo""",UNDO
0x07007b,0x0089,0x0091,0xe017,0xffff,"""Cut""",CUT
0x07007c,0x0085,0x008d,0xe018,0xffff,"""Copy""",COPY
0x07007d,0x0087,0x008f,0xe00a,0xffff,"""Paste""",PASTE
0x07007e,0x0088,0x0090,0x0000,0xffff,"""Find""",FIND
0x07007f,0x0071,0x0079,0xe020,0x004a,"""AudioVolumeMute""",VOLUME_MUTE
0x070080,0x0073,0x007b,0xe030,0x0048,"""AudioVolumeUp""",VOLUME_UP
0x070081,0x0072,0x007a,0xe02e,0x0049,"""AudioVolumeDown""",VOLUME_DOWN
0x070082,0x0000,0x0000,0x0000,0xffff,NULL,LOCKING_CAPS_LOCK
0x070083,0x0000,0x0000,0x0000,0xffff,NULL,LOCKING_NUM_LOCK
0x070084,0x0000,0x0000,0x0000,0xffff,NULL,LOCKING_SCROLL_LOCK
0x070085,0x0079,0x0081,0x007e,0x005f,"""NumpadComma""",NUMPAD_COMMA
0x070086,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_EQUAL
0x070087,0x0059,0x0061,0x0073,0x005e,"""IntlRo""",INTL_RO
0x070088,0x005d,0x0065,0x0070,0xffff,"""KanaMode""",KANA_MODE
0x070089,0x007c,0x0084,0x007d,0x005d,"""IntlYen""",INTL_YEN
0x07008a,0x005c,0x0064,0x0079,0xffff,"""Convert""",CONVERT
0x07008b,0x005e,0x0066,0x007b,0xffff,"""NonConvert""",NON_CONVERT
0x07008c,0x005f,0x0067,0x005c,0xffff,NULL,INTERNATIONAL6
0x07008d,0x0000,0x0000,0x0000,0xffff,NULL,INTERNATIONAL7
0x07008e,0x0000,0x0000,0x0000,0xffff,NULL,INTERNATIONAL8
0x07008f,0x0000,0x0000,0x0000,0xffff,NULL,INTERNATIONAL9
0x070090,0x007a,0x0082,0x0072,0x0068,"""Lang1""",LANG1
0x070091,0x007b,0x0083,0x0071,0x0066,"""Lang2""",LANG2
0x070092,0x005a,0x0062,0x0078,0xffff,"""Lang3""",LANG3
0x070093,0x005b,0x0063,0x0077,0xffff,"""Lang4""",LANG4
0x070094,0x0055,0x005d,0x0000,0xffff,"""Lang5""",LANG5
0x070095,0x0000,0x0000,0x0000,0xffff,NULL,LANG6
0x070096,0x0000,0x0000,0x0000,0xffff,NULL,LANG7
0x070097,0x0000,0x0000,0x0000,0xffff,NULL,LANG8
0x070098,0x0000,0x0000,0x0000,0xffff,NULL,LANG9
0x070099,0x0000,0x0000,0x0000,0xffff,NULL,ALTERNATE_ERASE
0x07009a,0x0000,0x0000,0x0000,0xffff,NULL,SYS_REQ
0x07009b,0x0000,0x0000,0x0000,0xffff,"""Abort""",ABORT
0x07009c,0x0000,0x0000,0x0000,0xffff,NULL,CLEAR
0x07009d,0x0000,0x0000,0x0000,0xffff,NULL,PRIOR
0x07009e,0x0000,0x0000,0x0000,0xffff,NULL,RETURN
0x07009f,0x0000,0x0000,0x0000,0xffff,NULL,SEPARATOR
0x0700a0,0x0000,0x0000,0x0000,0xffff,NULL,OUT
0x0700a1,0x0000,0x0000,0x0000,0xffff,NULL,OPER
0x0700a2,0x0000,0x0000,0x0000,0xffff,NULL,CLEAR_AGAIN
0x0700a3,0x0000,0x0000,0x0000,0xffff,"""Props""",PROPS
0x0700a4,0x0000,0x0000,0x0000,0xffff,NULL,EX_SEL
0x0700b0,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_00
0x0700b1,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_000
0x0700b2,0x0000,0x0000,0x0000,0xffff,NULL,THOUSANDS_SEPARATOR
0x0700b3,0x0000,0x0000,0x0000,0xffff,NULL,DECIMAL_SEPARATOR
0x0700b4,0x0000,0x0000,0x0000,0xffff,NULL,CURRENCY_UNIT
0x0700b5,0x0000,0x0000,0x0000,0xffff,NULL,CURRENCY_SUBUNIT
0x0700b6,0x00b3,0x00bb,0x0000,0xffff,"""NumpadParenLeft""",NUMPAD_PAREN_LEFT
0x0700b7,0x00b4,0x00bc,0x0000,0xffff,"""NumpadParenRight""",NUMPAD_PAREN_RIGHT
0x0700b8,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_BRACE_LEFT
0x0700b9,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_BRACE_RIGHT
0x0700ba,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_TAB
0x0700bb,0x0000,0x0000,0x0000,0xffff,"""NumpadBackspace""",NUMPAD_BACKSPACE
0x0700bc,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_A
0x0700bd,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_B
0x0700be,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_C
0x0700bf,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_D
0x0700c0,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_E
0x0700c1,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_F
0x0700c2,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_XOR
0x0700c3,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_CARAT
0x0700c4,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_PERCENT
0x0700c5,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_LESS_THAN
0x0700c6,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_GREATER_THAN
0x0700c7,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_AMERSAND
0x0700c8,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_DOUBLE_AMPERSAND
0x0700c9,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_VERTICAL_BAR
0x0700ca,0x0000,0x0000,0x0000,0xffff,NULL,//NUMPAD_DOUBLE_VERTICAL_BAR
0x0700cb,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_COLON
0x0700cc,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_NUMBER
0x0700cd,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_SPACE
0x0700ce,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_AT
0x0700cf,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_EXCLAMATION
0x0700d0,0x0000,0x0000,0x0000,0xffff,"""NumpadMemoryStore""",NUMPAD_MEMORY_STORE
0x0700d1,0x0000,0x0000,0x0000,0xffff,"""NumpadMemoryRecall""",NUMPAD_MEMORY_RECALL
0x0700d2,0x0000,0x0000,0x0000,0xffff,"""NumpadMemoryClear""",NUMPAD_MEMORY_CLEAR
0x0700d3,0x0000,0x0000,0x0000,0xffff,"""NumpadMemoryAdd""",NUMPAD_MEMORY_ADD
0x0700d4,0x0000,0x0000,0x0000,0xffff,"""NumpadMemorySubtract""",NUMPAD_MEMORY_SUBTRACT
0x0700d5,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_MEMORY_MULTIPLE
0x0700d6,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_MEMORY_DIVIDE
0x0700d7,0x0076,0x007e,0x0000,0xffff,NULL,NUMPAD_SIGN_CHANGE
0x0700d8,0x0000,0x0000,0x0000,0xffff,"""NumpadClear""",NUMPAD_CLEAR
0x0700d9,0x0000,0x0000,0x0000,0xffff,"""NumpadClearEntry""",NUMPAD_CLEAR_ENTRY
0x0700da,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_BINARY
0x0700db,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_OCTAL
0x0700dc,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_DECIMAL
0x0700dd,0x0000,0x0000,0x0000,0xffff,NULL,NUMPAD_HEXADECIMAL
0x0700e0,0x001d,0x0025,0x001d,0x003b,"""ControlLeft""",CONTROL_LEFT
0x0700e1,0x002a,0x0032,0x002a,0x0038,"""ShiftLeft""",SHIFT_LEFT
0x0700e2,0x0038,0x0040,0x0038,0x003a,"""AltLeft""",ALT_LEFT
0x0700e3,0x007d,0x0085,0xe05b,0x0037,"""MetaLeft""",META_LEFT
0x0700e4,0x0061,0x0069,0xe01d,0x003e,"""ControlRight""",CONTROL_RIGHT
0x0700e5,0x0036,0x003e,0x0036,0x003c,"""ShiftRight""",SHIFT_RIGHT
